ID,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,UsuarioID,MantenimientoID,nivelEscalamiento,UserInfo,tiempoResolucion
1,Desgaste,06-04-2024,Cerrada,"['877-15-7376', '467-34-2729']",['13905'],Bajo,"[['Camila Barco-solana', 'ofelia03@gutierrez.net', '+34732434825'], ['Evangelina Reguera Viana', 'qparedes@vara.com', '+34813213996']]",163.0
2,Desgaste,18-10-2023,Abierta,"['592-42-6016', '339-07-9203']",['687'],Bajo,"[['Ramiro Seguí-quintero', 'xramon@casanova.com', '+34719356297'], ['Dafne Roselló Casas', 'faustogallo@hotmail.com', '+34930194156']]",223.0
3,Rotura,27-07-2024,Cerrada,"['012-65-0978', '976-02-8152']",['376'],Bajo,"[['Emilia Pont Poza', 'nydiaolmedo@cervera-nebot.es', '+34709238516'], ['Tomasa Roselló Bernal', 'nestorllanos@gmail.com', '+34714159144']]",-1.0
4,Vandalismo,25-12-2023,Cerrada,"['588-11-9551', '532-78-5662', '166-45-6290']",['2131'],Bajo,"[['María Ángeles Sanchez-peral', 'crescencia16@hotmail.com', '+34635742785'], ['Leyre Marti Haro', 'graucruz@mateos.com', '+34719089735'], ['Miriam Torrijos Bayona', 'primitivovillena@agullo.es', '+34726672711']]",235.0
5,Mal funcionamiento,14-01-2024,Cerrada,"['004-60-5880', '563-73-1437']","['5277', '8362']",Bajo,"[['Alberto Osorio Escobar', ""'004-60-5880'-EMAIL-ausente"", '+34648733786'], ['Carina Aliaga Cañizares', 'catalanbautista@alvarado.com', '+34811918297']]",82.0
6,Mal funcionamiento,16-06-2024,Cerrada,['243-58-3707'],['817'],Bajo,"[['Judith Carreras Montenegro', 'pardojaviera@hotmail.com', '+34737302518']]",-1.0
7,Mal funcionamiento,29-11-2023,Abierta,"['568-97-1438', '060-60-3082']",['13919'],Bajo,"[['Emilia Valenzuela Daza', 'americotamayo@gmail.com', '+34867548451'], ['Gastón Seco', 'rafalarrea@hotmail.com', '+34708316939']]",191.0
8,Desgaste,11-07-2024,Abierta,"['796-05-5365', '885-57-6046']",['12758'],Bajo,"[['Nicodemo De Martí', 'rupertoprieto@hotmail.com', '+34738214831'], ['Ruperta Chico Coronado', 'lorenzo57@hotmail.com', '+34615590519']]",-1.0
9,Mal funcionamiento,30-03-2024,Cerrada,"['845-09-0809', '326-82-2881']",['1303'],Bajo,"[['Emiliano Colomer Mariño', 'gisbertjimena@casanovas-roldan.es', '+34712694474'], ['José Atienza-arenas', 'ozabaleta@hotmail.com', '+34713009780']]",104.0
10,Rotura,14-08-2024,Cerrada,['593-69-8841'],['5048'],Bajo,"[['María Luisa Nevado', 'pcantero@yahoo.com', '+34730170345']]",3.0
11,Vandalismo,10-10-2024,Cerrada,"['090-00-7405', '071-19-1066', '229-65-4862']","['7427', '14453']",Bajo,"[['Sosimo Porras Batalla', 'candidaperal@gmail.com', '+34733481939'], ['Luis Ángel Escribano Tovar', 'pratursula@gmail.com', '+34734804825'], ['Jesusa Hernando Seco', 'lucenaarmida@gmail.com', '+34726119718']]",-1.0
12,Desgaste,17-12-2023,Cerrada,['176-13-0825'],['10750'],Bajo,"[['Sarita Agudo Jara', 'dsalmeron@penas.com', '+34717339384']]",-1.0
13,Mal funcionamiento,20-07-2024,Cerrada,"['766-49-4521', '178-54-7373', '885-67-2471']","['3278', '11201']",Bajo,"[['Cayetana Salazar Iglesias', 'mayteterron@hotmail.com', '+34654858179'], ['Rufino De Hernández', 'barrigaselena@tomas.es', '+34736513264'], ['Teo Pascual Muñoz', 'canglada@hotmail.com', '+34718826719']]",60.0
14,Desgaste,27-09-2024,Cerrada,['597-15-0862'],['14451'],Bajo,"[['Glauco Salvador Lucas', 'florina92@manso-varela.net', '+34995452115']]",-1.0
15,Desgaste,25-10-2023,Cerrada,"['362-42-8620', '718-53-6721']","['4397', '4960']",Bajo,"[['Marisol Saavedra López', 'kjauregui@antunez.org', '+34740547542'], ['Julieta Martínez-izaguirre', 'eulaliamora@hotmail.com', '+34702710803']]",301.0
16,Desgaste,20-01-2024,Abierta,['199-84-4323'],['498'],Bajo,"[['Eva Espinosa Ferrándiz', 'nazaret04@gmail.com', '+34716644774']]",199.0
17,Vandalismo,07-09-2024,Abierta,"['095-45-4865', '707-18-9915', '799-14-3002']",['10246'],Bajo,"[['Eligia De Fuster', 'maria-pilaratienza@gmail.com', '+34719639392'], ['Germán Vélez Landa', 'lagojordi@soria-jaume.es', '+34864452515'], ['Vicente Cervantes Pardo', 'linacuervo@torres.es', '+34608462181']]",59.0
18,Mal funcionamiento,06-02-2024,Cerrada,['813-75-9847'],['11472'],Bajo,"[['Santiago Sanchez Botella', 'arico@barrio.org', '+34733871670']]",82.0
19,Desgaste,02-11-2024,Cerrada,"['474-19-4063', '458-07-3973', '990-13-7252']","['1733', '11172']",Bajo,"[['Albert Aparicio Pons', 'cmontes@gmail.com', '+34707438613'], ['Felisa Barco Losada', 'azeneth03@prats.es', '+34732916598'], ['Gerónimo Arcos-herrero', 'clararovira@sosa.es', '+34724485378']]",-1.0
20,Vandalismo,01-05-2024,Cerrada,['629-15-3222'],['10095'],Bajo,"[['Herberto Herrero', 'barberovictor@garzon-correa.es', '+34936391348']]",132.0
21,Mal funcionamiento,21-10-2023,Abierta,"['282-52-9975', '384-61-9704']",['9042'],Bajo,"[['Delfina Feijoo-luján', 'pedrocuevas@yahoo.com', '+34710179509'], ['Anna Mendez Solano', 'rafaela69@segovia.es', '+34892243666']]",190.0
22,Mal funcionamiento,06-10-2024,Cerrada,['096-22-0670'],['11353'],Bajo,"[['Socorro Busquets Capdevila', 'vasco30@hotmail.com', '+34738380067']]",-1.0
23,Rotura,27-01-2024,Abierta,"['604-91-2343', '406-56-3619', '307-27-1424']",['9042'],Bajo,"[['Eloy Fernandez', 'joelsantamaria@guillen-morata.com', '+34732136914'], ['Victoria Barreda Salvà', 'ivanbas@yahoo.com', '+34608834556'], ['Luis Gallo Alcalá', 'vallrico@hotmail.com', '+34910388785']]",92.0
24,Mal funcionamiento,28-09-2024,Abierta,['948-96-6590'],"['3568', '9550']",Bajo,"[['Adelaida Del Cantón', 'bfuertes@pombo.com', '+34743041893']]",-1.0
25,Mal funcionamiento,24-12-2023,Abierta,['566-61-3591'],['3597'],Bajo,"[['Fortunato Arenas Collado', 'arcosambrosio@aranda-marcos.com', '+34722913945']]",129.0
26,Desgaste,08-05-2024,Cerrada,"['500-90-6672', '245-63-5707', '317-56-5131']",['821'],Bajo,"[['Jenny Soria', 'ibarraafrica@gutierrez.org', '+34712927241'], ['Amparo Ariño Bayo', 'benita47@yahoo.com', '+34714162513'], ['Belen Rosales Calzada', 'cguzman@caro.es', '+34715729460']]",-1.0
27,Desgaste,10-01-2024,Cerrada,"['112-42-8189', '370-99-8984', '367-10-4674']",['6922'],Bajo,"[['Elpidio Andrés Carrasco Carreño', 'maria-luisanavarrete@rueda.com', '+34709622715'], ['Tania Ruperta Vargas Castejón', 'danielasanchez@gmail.com', '+34705566396'], ['María Pilar Rivera Santamaria', 'zcanas@cardona.es', '+34731260061']]",259.0
28,Mal funcionamiento,28-10-2023,Abierta,"['249-99-1099', '404-10-1370']",['6286'],Bajo,"[['Severo Canet Blanco', 'jramirez@gmail.com', '+34705716465'], ['Valerio Jover Ocaña', 'dbolanos@guzman-jimenez.es', '+34740060685']]",277.0
29,Vandalismo,19-08-2024,Abierta,"['508-98-5154', '378-11-4367', '378-11-4367']",['13953'],Bajo,"[['Bernardita Prado Gutierrez', 'xlillo@velazquez-company.es', '+34745464008'], ['Elodia Roldan-ibáñez', 'velezvinicio@gmail.com', '+34744631744'], ['Elodia Roldan-ibáñez', 'velezvinicio@gmail.com', '+34744631744']]",-1.0
30,Vandalismo,18-04-2024,Cerrada,['972-87-4607'],['14904'],Bajo,"[['Nicolás De Asensio', 'julian19@yahoo.com', '+34984672161']]",-1.0
31,Desgaste,30-09-2024,Cerrada,"['223-42-0669', '449-74-0186', '398-59-2924']",['6337'],Bajo,"[['Amado Diez Llorente', 'roberta08@navas.net', '+34741853819'], ['Caridad Cornejo Sevillano', 'tartigas@higueras-montserrat.es', '+34706558357'], ['Nadia Real Correa', 'rupertovillaverde@hotmail.com', '+34713984795']]",-1.0
32,Desgaste,30-04-2024,Abierta,"['801-97-2555', '093-35-3953', '708-79-2896']","['9082', '11531']",Bajo,"[['Florentino Ortiz Haro', 'delfinaluis@yahoo.com', '+34718475984'], ['Luis Comas Rubio', 'egargallo@gmail.com', '+34945591134'], ['Íngrid Ferrera', 'dcifuentes@solana.com', '+34745225012']]",163.0
33,Mal funcionamiento,02-03-2024,Abierta,"['593-44-5401', '398-08-9022']",['4581'],Bajo,"[['Almudena España Huerta', 'africabayon@gmail.com', '+34604862521'], ['Arsenio Ledesma', 'ecuesta@cases.com', '+34837996973']]",-1.0
34,Mal funcionamiento,19-03-2024,Cerrada,"['911-89-5856', '280-56-6309']",['14143'],Bajo,"[['Eleuterio Del Ibáñez', 'domingo02@hotmail.com', '+34707335480'], ['Vanesa Fernandez Cuenca', 'irma95@hotmail.com', '+34730752692']]",73.0
35,Vandalismo,13-06-2024,Cerrada,['395-06-9681'],"['559', '5565']",Bajo,"[['Cleto Julián Leal', 'wgalan@nunez.org', '+34745594554']]",64.0
